"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"COL","FDIFLOW","OUTWARD","MLN_USD","A","2012",-606.20209279,
"COL","FDIFLOW","OUTWARD","MLN_USD","A","2013",7652.08277915,
"COL","FDIFLOW","OUTWARD","MLN_USD","A","2014",3898.95099612,
"COL","FDIFLOW","OUTWARD","MLN_USD","A","2015",4217.7364359987,
"COL","FDIFLOW","OUTWARD","MLN_USD","A","2016",4517.351920026,
"COL","FDIFLOW","OUTWARD","MLN_USD","A","2017",3689.564074544,
"COL","FDIFLOW","OUTWARD","MLN_USD","A","2018",5126.3177209723,
"COL","FDIFLOW","OUTWARD","MLN_USD","A","2019",3153.4964886939,
"COL","FDIFLOW","OUTWARD","MLN_USD","A","2020",1733.44862283,
"COL","FDIFLOW","OUTWARD","MLN_USD","A","2021",3180.81377372,
"COL","FDIFLOW","OUTWARD","MLN_USD","A","2022",3401.71809627,
"COL","FDIFLOW","INWARD","PC_GDP","A","2005",7.0297966086435,
"COL","FDIFLOW","INWARD","PC_GDP","A","2006",4.1723795434591,
"COL","FDIFLOW","INWARD","PC_GDP","A","2007",4.308679184924,
"COL","FDIFLOW","INWARD","PC_GDP","A","2008",4.3562756420107,
"COL","FDIFLOW","INWARD","PC_GDP","A","2009",3.4562729587142,
"COL","FDIFLOW","INWARD","PC_GDP","A","2010",2.2443366919248,
"COL","FDIFLOW","INWARD","PC_GDP","A","2011",4.3726941677053,
"COL","FDIFLOW","INWARD","PC_GDP","A","2012",4.0572773344817,
"COL","FDIFLOW","INWARD","PC_GDP","A","2013",4.2425222560492,
"COL","FDIFLOW","INWARD","PC_GDP","A","2014",4.2410734554582,
"COL","FDIFLOW","INWARD","PC_GDP","A","2015",3.9593981464968,
"COL","FDIFLOW","INWARD","PC_GDP","A","2016",4.9016457339973,
"COL","FDIFLOW","INWARD","PC_GDP","A","2017",4.3931819776963,
"COL","FDIFLOW","INWARD","PC_GDP","A","2018",3.3808359152889,
"COL","FDIFLOW","INWARD","PC_GDP","A","2019",4.330794557905,
"COL","FDIFLOW","INWARD","PC_GDP","A","2020",2.7582091205127,
"COL","FDIFLOW","INWARD","PC_GDP","A","2021",3.0410481870982,
"COL","FDIFLOW","INWARD","PC_GDP","A","2022",4.9191635454524,
"COL","FDIFLOW","OUTWARD","PC_GDP","A","2005",3.2936137314226,
"COL","FDIFLOW","OUTWARD","PC_GDP","A","2006",0.7835635483859,
"COL","FDIFLOW","OUTWARD","PC_GDP","A","2007",0.62008412510819,
"COL","FDIFLOW","OUTWARD","PC_GDP","A","2008",1.2721942004056,
"COL","FDIFLOW","OUTWARD","PC_GDP","A","2009",1.5075826995075,
"COL","FDIFLOW","OUTWARD","PC_GDP","A","2010",1.9136780058883,
"COL","FDIFLOW","OUTWARD","PC_GDP","A","2011",2.5136351006087,
"COL","FDIFLOW","OUTWARD","PC_GDP","A","2012",-0.16353295042422,
"COL","FDIFLOW","OUTWARD","PC_GDP","A","2013",2.0026717999145,
